🦆,Song,Artist,Score,Year,F. Genre(s),B. Genre(s),All descriptors,Comments,BM,Language,Alt. Song Name(s),Alt. Artist Name(s),Notes,Attributes,Owned,Mixtape(s),Added,Conc,ID,Count,A+C,D#,Y#,CI,BC,TC
✓,Ana Ng,They Might Be Giants,3.3,1988,Power Pop; Indie Pop; Indie Rock,Power Pop; Indie Pop; Indie Rock; Pop Rock; Alternative Rock,,,,English,,,,,,,12/31/2020,They Might Be Giants - Ana Ng,,08228,2020-12-31 08228,,,,#1155cc,#ea9999
✓,Istanbul (Not Constantinople),They Might Be Giants,3.3,1990,Indie Pop; Alternative Rock,Indie Pop; Alternative Rock,humorous; quirky; fun; catchy; adventure,,,English,,,,,,,12/31/2020,They Might Be Giants - Istanbul (Not Constantinople),,08229,2020-12-31 08229,,,2,#89c47f,#000000
✓,Birdhouse in Your Soul,They Might Be Giants,3.3,1990,Indie Pop; Alternative Rock; Progressive Pop,Indie Pop; Alternative Rock; Progressive Pop,,,,English,,,,,,,12/31/2020,They Might Be Giants - Birdhouse in Your Soul,,08230,2020-12-31 08230,,,3,#89c47f,#000000
✓,Boss of Me,They Might Be Giants,3.3,2001,Pop Punk; Television Music,P0p Punk; Television Music; Punk Rock; Soundtrack; Descriptor Genres,,,,English,,,,[soundtrack]; [yt*],,,2/20/2022,They Might Be Giants - Boss of Me,,08231,2022-02-20 08231,,,1,#ffffff,#990000
✓,The Boys Are Back in Town,Thin Lizzy,3.3,1976,Hard Rock,Hard Rock,,,,English,,,,,,,12/31/2020,Thin Lizzy - The Boys Are Back in Town,,08232,2020-12-31 08232,,,,#d0e0e3,#000000
✓,Health and Efficiency,This Heat,3.3,1980,Post-Punk; Exp–rimental Rock,Post-Punk; Exp–rimental Rock,,,,English,,,,,,,12/31/2020,This Heat - Health and Efficiency,,08233,2020-12-31 08233,,,,#3c78d8,#ffffff
✓,S.P.Q.R.,This Heat,3.3,1981,Post-Punk; Exp–rimental Rock,Post-Punk; Exp–rimental Rock,,,,English; Latin,,,,,,,12/31/2020,This Heat - S.P.Q.R.,,08234,2020-12-31 08234,,,,#000000,#e6b8af
✓,Cenotaph,This Heat,3.3,1981,Post-Punk; Exp–rimental Rock; Avant-Prog,Post-Punk; Exp–rimental Rock; Avant-Prog; Progressive Rock,,,,English,,,,,,,12/31/2020,This Heat - Cenotaph,,08235,2020-12-31 08235,,,,#000000,#e6b8af
✓,Makeshift Swahili,This Heat,3.3,1981,Post-Punk; Exp–rimental Rock; Avant-Prog,Post-Punk; Exp–rimental Rock; Avant-Prog; Progressive Rock,,,,English,,,,,,,12/31/2020,This Heat - Makeshift Swahili,,08236,2020-12-31 08236,,,,#000000,#e6b8af
✓,Unmade,Thom Yorke,3.3,2018,Ambient Pop; Art Pop; Film Soundtrack,Amb–ent P0p; Art Pop; Film Soundtrack; Descriptor Genres,,,,English,,,,[soundtrack],,,12/31/2020,Thom Yorke - Unmade,,08237,2020-12-31 08237,,,,#1155cc,#ff00ff
✓,Ni**az Ain't Barin' Dat,Three 6 Mafia,3.3,1994,Memphis Rap; Exp–rimental Hip Hop; Southern Hip Hop; Instrumental Hip Hop,Memphis Rap; Exp–rimental Hip Hop; Southern Hip Hop; Instrumental Hip Hop; Hardcore Hip Hop; Scenes & Movements,,,,English,,,,[yt*],,,12/31/2020,Three 6 Mafia - Ni**az Ain't Barin' Dat,,08238,2020-12-31 08238,,,4,#cccccc,#cc0000
✓,Fuck All Dem Hoes,Three 6 Mafia,3.3,1994,Memphis Rap; Southern Hip Hop,Memphis Rap; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,,,,English,,,,[yt*],,,12/31/2020,Three 6 Mafia - Fuck All Dem Hoes,,08239,2020-12-31 08239,,,5,#cccccc,#cc0000
✓,Break Da Law '95',Three 6 Mafia,3.3,1995,Memphis Rap; Horrorcore; Southern Hip Hop,Memphis Rap; Horrorcore; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,,,,English,,,,,,,12/31/2020,Three 6 Mafia - Break Da Law '95',695,08240,2020-12-31 08240,,,6,#000000,#ff9900
✓,Ridin' da Chevy,Three 6 Mafia,3.3,1995,Memphis Rap; Southern Hip Hop,Memphis Rap; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,,,,English,Ridin' n da Chevy,,,[yt*],,,12/31/2020,Three 6 Mafia - Ridin' da Chevy,,08241,2020-12-31 08241,,,7,#cccccc,#cc0000
✓,Live by Yo Rep (Bone Dis),Three 6 Mafia,3.3,1995,Horrorcore; Memphis Rap; Southern Hip Hop,Horrorcore; Memphis Rap; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,INC; dark; aggressive; crime,,,English,,,,,,,10/31/2022,Three 6 Mafia - Live by Yo Rep (Bone Dis),,08242,2022-10-31 08242,,,8,#000000,#ff9900
✓,In da Game,Three 6 Mafia,3.3,1995,Memphis Rap; Gangsta Rap; Southern Hip Hop,Memphis Rap; Gangsta Rap; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,INC; dark; aggressive; crime,,,English,,,,,,,10/31/2022,Three 6 Mafia - In da Game,,08243,2022-10-31 08243,,,9,#000000,#ff9900
✓,Sweet Robbery (Pt. 2),Three 6 Mafia,3.3,1995,Memphis Rap; Horrorcore; Southern Hip Hop,Memphis Rap; Horrorcore; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,dark; crime; violence; fight song; scary; death; aggressive; urban; manic; disturbing; night; ominous; Halloween,,,English,,,,,,,10/31/2022,Three 6 Mafia - Sweet Robbery (Pt. 2),,08244,2022-10-31 08244,,,10,#000000,#ff9900
✓,Fuckin Wit Dis Click,Three 6 Mafia,3.3,1995,Memphis Rap; Horrorcore; Southern Hip Hop,Memphis Rap; Horrorcore; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,INC; dark; crime; violence; rainy; night,,,English,,,,,,,10/31/2022,Three 6 Mafia - Fuckin Wit Dis Click,,08245,2022-10-31 08245,,,11,#000000,#ff9900
✓,Mystic Stylez,Three 6 Mafia,3.3,1995,Memphis Rap; Horrorcore; Southern Hip Hop,Memphis Rap; Horrorcore; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,INC; dark; crime; scary,,,English,,,,,,,10/31/2022,Three 6 Mafia - Mystic Stylez,,08246,2022-10-31 08246,,,12,#000000,#ff9900
✓,Tear Da Club '97,Three 6 Mafia,3.3,1997,Memphis Rap; Southern Hip Hop; Crunk,Memphis Rap; Southern Hip Hop; Crunk; Hardcore Hip Hop; Scenes & Movements,INC; party; epic; fun,,,English,,,,,,,7/24/2022,Three 6 Mafia - Tear Da Club '97,97,08247,2022-07-24 08247,,,13,#b45f06,#ffffff
✓,Late Nite Tip,Three 6 Mafia,3.3,1997,Memphis Rap; Southern Hip Hop,Memphis Rap; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,INC; late night; melancholic,,,English,,,,,,,11/26/2022,Three 6 Mafia - Late Nite Tip,,08248,2022-11-26 08248,,,14,#000000,#ea9999
✓,Sippin on Some Syrup,Three 6 Mafia,3.3,2000,Memphis Rap; Southern Hip Hop,Memphis Rap; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,,,,English,,,,,,,12/31/2020,Three 6 Mafia - Sippin on Some Syrup,,08249,2020-12-31 08249,,,2,#000000,#03d6bb
✓,Poppin' My Collar,Three 6 Mafia,3.3,2005,Southern Hip Hop; Dirty South; Memphis Rap,Southern Hip Hop; Dirty South; Memphis Rap; Scenes & Movements; Hardcore Hip Hop,INC; triumphant; celebration; party; fun; catchy,,,English,,,,,,,11/26/2022,Three 6 Mafia - Poppin' My Collar,,08250,2022-11-26 08250,,,3,#0c343d,#d9d9d9
✓,Digital Sea,Thrice,3.3,2007,Art Rock; Electronic,Art Rock; Electronic,,,,English,,,,,,,12/31/2020,Thrice - Digital Sea,,08251,2020-12-31 08251,,,1,#434343,#ffe599
✓,Not Too Soon,Throwing Muses,3.3,1991,Indie Rock,Indie Rock; Alternative Rock,,,,English,,,,,,,12/31/2020,Throwing Muses - Not Too Soon,,08252,2020-12-31 08252,,,1,#000000,#a8fa83
✓,Them Changes,Thundercat,3.3,2015,Neo-Soul; Funk,Neo-Soul; Funk; R&B,INC; lush; soft; introspective; breakup; melancholic,,,English,,,,,,,7/22/2022,Thundercat - Them Changes,,08253,2022-07-22 08253,,,,#bf9000,#fff2cc
✓,Something in the Air,Thunderclap Newman,3.3,1969,Pop Rock; Psychedelic Pop,Pop Rock; Psychedelic Pop,,,,English,,,,,,,12/31/2020,Thunderclap Newman - Something in the Air,,08254,2020-12-31 08254,,,,#000000,#ffffff
✓,Understanding in a Car Crash,Thursday,3.3,2001,Post-Hardcore; Emo; Rock,Post-Hardcore; Emo; Rock; Punk; Hardcore [Punk],,,,English,,,,,,,12/31/2020,Thursday - Understanding in a Car Crash,,08255,2020-12-31 08255,,,1,#f3f3f3,#3d85c6
✓,Little Bitty Pretty One,Thurston Harris,3.3,1957,Doo-Wop; Rock & Roll; Rhythm & Bl–es,Doo-Wop; Rock & Roll; Rhythm & Bl–es; R&B,INC; happy,,,English,,,,,,,4/29/2022,Thurston Harris - Little Bitty Pretty One,,08256,2022-04-29 08256,,,,#e06666,#ffffff
✓,Fekete Mekzõk,Thy Catafalque,3.3,2011,Progressive Metal; Avant-Garde Metal,Progressive Metal; Avant-Garde Metal; Rock,,,,Hungarian,,,,,,,12/31/2020,Thy Catafalque - Fekete Mekzõk,,08257,2020-12-31 08257,,,,#6d662f,#f8ecd7
✓,Kel Keleti Szél,Thy Catafalque,3.3,2011,Progressive Metal; Folk Metal,Progressive Metal; F0lk Metal; Rock,,,,Hungarian,,,,,,,12/31/2020,Thy Catafalque - Kel Keleti Szél,,08258,2020-12-31 08258,,,,#6d662f,#f8ecd7
✓,Pleasant Street,Tim Buckley,3.3,1967,Psychedelic Folk; Folk Rock; Singer-Songwriter,Psychedelic Folk; F0lk Rock; Singer-Songwriter; Contemporary Folk,,,,English,,,,,,,12/31/2020,Tim Buckley - Pleasant Street,,08259,2020-12-31 08259,,,,#ffe599,#000000
✓,Morning Glory,Tim Buckley,3.3,1967,Contemporary Folk; Singer-Songwriter,Contemporary Folk; Singer-Songwriter,,,,English,,,,,,,12/31/2020,Tim Buckley - Morning Glory,,08260,2020-12-31 08260,,,,#ffe599,#000000
✓,Monterey,Tim Buckley,3.3,1970,Exp–rimental Rock; J–zz-Rock,Exp–rimental Rock; J–zz-Rock,,,,English,,,,,,,12/31/2020,Tim Buckley - Monterey,,08261,2020-12-31 08261,,,,#e0d3c6,#3c78d8
✓,Jungle Fire,Tim Buckley,3.3,1970,Exp–rimental Rock; Avant-Folk; Singer-Songwriter,Exp–rimental Rock; Avant-Folk; Singer-Songwriter; Contemporary Folk,,,,English,,,,,,,12/31/2020,Tim Buckley - Jungle Fire,,08262,2020-12-31 08262,,,,#e0d3c6,#3c78d8
✓,Move with Me,Tim Buckley,3.3,1972,F–nk Rock; Singer-Songwriter,F–nk Rock; Singer-Songwriter,,,,English,,,,,,,12/31/2020,Tim Buckley - Move with Me,,08263,2020-12-31 08263,,,,#8fcf6c,#000000
✓,Live Room,Tim Hecker,3.3,2013,Glitch; Ambient; Electroacoustic,Gl–tch; Ambient; Electroacoustic; Electronic; Experimental,,,,Instrumental,,,,,,,12/31/2020,Tim Hecker - Live Room,,08264,2020-12-31 08264,,,,#000000,#d9d9d9
✓,Good Old Soul,Tina Brooks,3.3,1960,Hard Bop,Hard Bop; Bebop; Jazz,,,,Instrumental,,,,,,,5/1/2021,Tina Brooks - Good Old Soul,,08265,2021-05-01 08265,,,,#1155cc,#c9daf8
✓,Up Tight's Creek,Tina Brooks,3.3,1960,Hard Bop,Hard Bop; Bebop; Jazz,,,,Instrumental,,,,,,,5/1/2021,Tina Brooks - Up Tight's Creek,,08266,2021-05-01 08266,,,,#1155cc,#c9daf8
✓,Never Gonna Let You Go (Kelly G. Edit),Tina Moore,3.3,1997,UK Garage; Contemporary R&B,UK Garage; Contemporary R&B; EDM; Dance; Electronic,,,,English,,,,,,,12/31/2020,Tina Moore - Never Gonna Let You Go (Kelly G. Edit),,08267,2020-12-31 08267,,,1,#8e7cc3,#ffffff
✓,What's Love Got to Do With It,Tina Turner,3.3,1984,Pop Soul; Adult Contemporary,Pop Soul; Adult Contemporary; R&B,,,,English,,,,,,,12/31/2020,Tina Turner - What's Love Got to Do With It,,08268,2020-12-31 08268,,,,#000000,#ff00ff
✓,Feels Like Vegas,Tinashe,3.3,2014,Alternative R&B,Alternative R&B; Contemporary R&B,,,,English,,,,,,,7/1/2021,Tinashe - Feels Like Vegas,,08269,2021-07-01 08269,,,,#26887d,#c3eee4
✓,Cold Sweat,Tinashe,3.3,2014,Alternative R&B; UK Bass,Alternative R&B; UK Bass; Contemporary R&B; EDM; Dance; Electronic,,,,English,,,,,,,1/21/2022,Tinashe - Cold Sweat,,08270,2022-01-21 08270,,,,#26887d,#c3eee4
✓,Aquarius,Tinashe,3.3,2014,Alternative R&B,Alternative R&B; Contemporary R&B,INC; aquatic; luxurious,,,English,,,,,,,6/15/2022,Tinashe - Aquarius,,08271,2022-06-15 08271,,,,#26887d,#c3eee4
✓,Far Side of the Moon,Tinashe,3.3,2014,Alternative R&B,Alternative R&B; Contemporary R&B,INC; night,,,English,,,,,,,6/15/2022,Tinashe - Far Side of the Moon,,08272,2022-06-15 08272,,,,#26887d,#c3eee4
✓,Superlove,Tinashe,3.3,2016,Dance-Pop; Contemporary R&B; Atlanta Bass,Dance-Pop; Contemporary R&B; Atlanta Bass; Miami Bass; Hip Hop,,,,English,,,,,,,2/1/2021,Tinashe - Superlove,,08273,2021-02-01 08273,,,,#d0e0e3,#d12b69
✓,Soul Glitch,Tinashe,3.3,2016,Alternative R&B; Neo-Soul,Alternative R&B; Neo-Soul; Contemporary R&B,INC; night; futuristic,,,English,,,,,,,6/15/2022,Tinashe - Soul Glitch,,08274,2022-06-15 08274,,,,#ffffff,#000000
✓,Touch Pass,Tinashe,3.3,2016,Alternative R&B,Alternative R&B; Contemporary R&B,,,,English,,,,,,,6/15/2022,Tinashe - Touch Pass,,08275,2022-06-15 08275,,,,#ffffff,#000000
✓,Ghetto Boy,Tinashe,3.3,2016,Alternative R&B; Art Pop; Neo-Soul; Downtempo,Alternative R&B; Art Pop; Neo-Soul; Downtempo; Contemporary R&B; Electronic,,,,English,,,,,,,6/15/2022,Tinashe - Ghetto Boy,,08276,2022-06-15 08276,,,,#ffffff,#000000
✓,That's Not My Name,Ting Tings,3.3,2007,Indie Pop,Indie Pop,,,,English,,,,,,,12/31/2020,Ting Tings - That's Not My Name,,08277,2020-12-31 08277,,,1,#434343,#fea0cd
✓,Silly Rabbit (Bugs Bunny),TisaKorean,3.3,2021,Pop Rap; Snap; Southern Hip Hop,P0p Rap; Snap; Southern Hip Hop; Scenes & Movements,INC; fun; happy; sunny day; party,,,English,,,,,,,3/25/2023,TisaKorean - Silly Rabbit (Bugs Bunny),,08278,2023-03-25 08278,,,,#b30e5d,#fed533
✓,Head in the Ceiling Fan,Title Fight,3.3,2012,Shoegaze; Emo; Post-Hardcore,Shoegaze; Emo; Post-Hardcore; Alternative Rock; Punk; Hardcore [Punk],,,,English,,,,,,,3/14/2022,Title Fight - Head in the Ceiling Fan,,08279,2022-03-14 08279,,,,#ffffff,#38761d
✓,Dimed Out,Titus Andronicus,3.3,2015,Punk Rock; Indie Rock,Punk Rock; Indie Rock; Alternative Rock,,,,English,,,,,,,12/31/2020,Titus Andronicus - Dimed Out,,08280,2020-12-31 08280,,,,#6d662f,#bed52f
✓,Waterfalls,TLC,3.3,1994,Contemporary R&B,Contemporary R&B,,,,English,,,,,,,12/31/2020,TLC - Waterfalls,,08281,2020-12-31 08281,,,1,#ff4500,#ffffff
✓,Creep,TLC,3.3,1994,Contemporary R&B,Contemporary R&B,,,,English,,,,,,,12/31/2020,TLC - Creep,,08282,2020-12-31 08282,,,2,#ff4500,#ffffff
✓,Diggin' on You,TLC,3.3,1994,Contemporary R&B; Neo-Soul,Contemporary R&B; Neo-Soul,,,,English,,,,,,,2/7/2022,TLC - Diggin' on You,,08283,2022-02-07 08283,,,3,#ff4500,#ffffff
✓,Red Light Special,TLC,3.3,1994,Contemporary R&B,Contemporary R&B,,,,English,,,,,,,2/7/2022,TLC - Red Light Special,,08284,2022-02-07 08284,,,4,#ff4500,#ffffff
✓,No Scrubs,TLC,3.3,1999,Contemporary R&B,Contemporary R&B,,,,English,,,,,$-CD Rip - V/A The Beat Is Mine,,12/31/2020,TLC - No Scrubs,,08285,2020-12-31 08285,,,5,#434343,#cccccc
✓,Fye Fye,Tobe Nwigwe,3.3,2021,Hip Hop,Hip Hop,,,,English,,,,,,,5/1/2021,Tobe Nwigwe - Fye Fye,,08286,2021-05-01 08286,,,,#d9ead3,#000000
✓,Death by Glamour,Toby Fox,3.3,2015,Eurodance; Sequencer & Tracker; Video Game Music,Eurodance; Sequencer & Tracker; Video Game Music; EDM; Dance-Pop; Electronic; Bit Music; Soundtrack; Descriptor Genres,,,,Instrumental,,,,[soundtrack],,,12/31/2020,Toby Fox - Death by Glamour,,08287,2020-12-31 08287,,,,#000000,#ffffff
✓,Light of the Son,Todd Edwards,3.3,1999,2-Step; Speed Garage; Deep House,2-Step; Speed Garage; Deep House; UK Garage; EDM; Dance; Electronic,,,,English,,,,,,,6/1/2021,Todd Edwards - Light of the Son,,08288,2021-06-01 08288,,,1,#d9ead3,#274e13
✓,Zen Archer,Todd Rundgren,3.3,1973,Psychedelic Pop; Progressive Rock; Art Pop; Exp–rimental Rock; Art Rock,Psychedelic Pop; Progressive Rock; Art Pop; Exp–rimental Rock; Art Rock,INC; manic; dense; fun; energetic; quirky; lush,,,English,,,,,,,12/9/2022,Todd Rundgren - Zen Archer,,08289,2022-12-09 08289,,,,#0b5394,#ffd7ec
✓,Strandbar (Samba),Todd Terje,3.3,2013,Nu-Disco; Electro-Disco,Nu-Disco; Electro-Disco; EDM; Dance; Electronic,,,,Instrumental,,,,,,,1/1/2021,Todd Terje - Strandbar (Samba),,08290,2021-01-01 08290,,,,#7ff2ff,#000000
✓,Tremolo + Delay,toe,3.3,2005,Math Rock; Post-Rock,Math Rock; Post-Rock,,,,Instrumental,,,,,,,11/1/2021,toe - Tremolo + Delay,,08291,2021-11-01 08291,,,1,#0c343d,#d0e0e3
✓,Dancer,Tom and Jerry,3.3,1994,Jungle,Jungle; Drum and Bass; EDM; Dance; Electronic,,,,English,,,,[yt*],,,12/31/2020,Tom and Jerry - Dancer,,08292,2020-12-31 08292,,,1,#38761d,#c9daf8
✓,Syncopation,Tom Dissevelt & Kid Baltan,3.3,1959,Electronic; Experimental,Electronic; Experimental,,,,Instrumental,,,,,,,12/31/2020,Tom Dissevelt & Kid Baltan - Syncopation,,08293,2020-12-31 08293,,,,#741b47,#ffe599
✓,I Hope That I Don't Fall in Love With You,Tom Waits,3.3,1973,Contemporary Folk; Singer-Songwriter,Contemporary Folk; Singer-Songwriter,,,,English,,,,,,,12/31/2020,Tom Waits - I Hope That I Don't Fall in Love With You,,08294,2020-12-31 08294,,,,#000000,#f6b26b
✓,Old Shoes (Picture Postcards),Tom Waits,3.3,1973,Folk Rock; Singer-Songwriter,F0lk Rock; Singer-Songwriter,,,,English,,,,,,,12/31/2020,Tom Waits - Old Shoes (Picture Postcards),,08295,2020-12-31 08295,,,,#000000,#f6b26b
✓,Rosie,Tom Waits,3.3,1973,Piano Blues; Singer-Songwriter,Piano Blues; Singer-Songwriter,,,,English,,,,,,,12/31/2020,Tom Waits - Rosie,,08296,2020-12-31 08296,,,,#000000,#f6b26b
✓,Little Trip to Heaven (On the Wings of Your Love),Tom Waits,3.3,1973,Vocal Jazz; Singer-Songwriter,Vocal Jazz; Singer-Songwriter,,,,English,,,,,,,12/31/2020,Tom Waits - Little Trip to Heaven (On the Wings of Your Love),,08297,2020-12-31 08297,,,,#000000,#f6b26b
✓,Grapefruit Moon,Tom Waits,3.3,1973,Singer-Songwriter,Singer-Songwriter,,,,English,,,,,,,12/31/2020,Tom Waits - Grapefruit Moon,,08298,2020-12-31 08298,,,,#000000,#f6b26b
✓,Closing Time,Tom Waits,3.3,1973,Chamber Jazz; Singer-Songwriter,Chamber Jazz; Singer-Songwriter,,,,English,,,,,,,12/31/2020,Tom Waits - Closing Time,,08299,2020-12-31 08299,,,,#000000,#f6b26b
✓,Clap Hands,Tom Waits,3.3,1985,Art Rock; Singer-Songwriter,Art Rock; Singer-Songwriter,,,,English,,,,,,,12/31/2020,Tom Waits - Clap Hands,,08300,2020-12-31 08300,,,,#666666,#f6c12f
✓,Tango Till They're Sore,Tom Waits,3.3,1985,Dark C–baret; Piano Blues; Singer-Songwriter,Dark C–baret; Piano Blues; Singer-Songwriter,,,,English,,,,,,,12/31/2020,Tom Waits - Tango Till They're Sore,,08301,2020-12-31 08301,,,,#666666,#f6c12f
✓,Hang Down Your Head,Tom Waits,3.3,1985,Heartland Rock; Singer-Songwriter,Heartland Rock; Singer-Songwriter,,,,English,,,,,,,12/31/2020,Tom Waits - Hang Down Your Head,,08302,2020-12-31 08302,,,,#666666,#f6c12f
✓,Time,Tom Waits,3.3,1985,Contemporary Folk; Singer-Songwriter,Contemporary Folk; Singer-Songwriter,,,,English,,,,,,,12/31/2020,Tom Waits - Time,,08303,2020-12-31 08303,,,,#666666,#f6c12f
✓,Rain Dogs,Tom Waits,3.3,1985,Exp–rimental Rock; Singer-Songwriter,Exp–rimental Rock; Singer-Songwriter,,,,English,,,,,,,12/31/2020,Tom Waits - Rain Dogs,,08304,2020-12-31 08304,,,,#666666,#f6c12f
✓,Goin' Out West,Tom Waits,3.3,1992,Punk Bl–es; Bl–es Rock; Exp–rimental Rock; Singer-Songwriter,Punk Bl–es; Bl–es Rock; Exp–rimental Rock; Singer-Songwriter; Punk Rock,,,,English,,,,,,,12/31/2020,Tom Waits - Goin' Out West,,08305,2020-12-31 08305,,,2,#351c75,#d9d2e9
✓,Flowers Grave,Tom Waits,3.3,2002,Vocal Jazz; Singer-Songwriter,Vocal Jazz; Singer-Songwriter,,,,English,,,,,,,12/31/2020,Tom Waits - Flowers Grave,,08306,2020-12-31 08306,,,2,#20124d,#ffd966
✓,Dance Monkey,Tones and I,3.3,2019,Dance-Pop,Dance-Pop,,,,English,,,,,,,12/31/2020,Tones and I - Dance Monkey,,08307,2020-12-31 08307,,,,#0c343d,#ffffff
✓,Another Sad Love Song,Toni Braxton,3.3,1993,Contemporary R&B,Contemporary R&B,,,,English,,,,,,,1/1/2021,Toni Braxton - Another Sad Love Song,,08308,2021-01-01 08308,,,1,#efefef,#ff1e74
✓,Un-Break My Heart,Toni Braxton,3.3,1996,Smooth Soul; Adult Contemporary; Contemporary R&B,Smooth Soul; Adult Contemporary; Contemporary R&B; Pop,,,,English,,,,,,,12/31/2020,Toni Braxton - Un-Break My Heart,,08309,2020-12-31 08309,,,2,#ffe599,#000000
✓,Sober,Tool,3.3,1993,Alternative Metal,Alternative Metal; Rock,,,,English,,,,,,,12/31/2020,Tool - Sober,,08310,2020-12-31 08310,,,1,#000000,#ea9999
✓,Pressure Drop,Toots and The Maytals,3.3,1970,Reggae; Rocksteady,Reggae; R0cksteady; Jamaican Music; Caribbean Music; Regional Music; Reg / Sk / Dan,,,,English,,,,,,,12/31/2020,Toots and The Maytals - Pressure Drop,,08311,2020-12-31 08311,,,,#f6b26b,#000000
✓,Here in My Head,Tori Amos,3.3,1992,Piano Rock; Singer-Songwriter,Piano Rock; Singer-Songwriter; Pop Rock,,,,English,,,,,,,12/31/2020,Tori Amos - Here in My Head,,08312,2020-12-31 08312,,,6,#ffffff,#b45f06
✓,Girl,Tori Amos,3.3,1992,Art Pop; Singer-Songwriter,Art Pop; Singer-Songwriter,,,,English,,,,,$-CD Rip,,12/31/2020,Tori Amos - Girl,,08313,2020-12-31 08313,,,7,#ffffff,#b45f06
✓,Precious Things,Tori Amos,3.3,1992,Piano Rock; Singer-Songwriter,Piano Rock; Singer-Songwriter; Pop Rock,,,,English,,,,,$-CD Rip,,12/31/2020,Tori Amos - Precious Things,,08314,2020-12-31 08314,,,8,#ffffff,#b45f06
✓,China,Tori Amos,3.3,1992,Adult Contemporary; Singer-Songwriter,Adult Contemporary; Singer-Songwriter; Pop,,,,English,,,,,$-CD Rip,,12/31/2020,Tori Amos - China,,08315,2020-12-31 08315,,,9,#ffffff,#b45f06
✓,A Sorta Fairytale,Tori Amos,3.3,2002,Singer-Songwriter; Piano Rock; Art Pop,Singer-Songwriter; Piano Rock; Art Pop; Pop Rock,,,,English,,,,,,,12/31/2020,Tori Amos - A Sorta Fairytale,,08316,2020-12-31 08316,,,1,#ffd966,#000000
✓,Smiles and Tears,Toru Minegishi,3.3,2014,Pop; Video Game Music,Pop; Video Game Music; Soundtrack; Descriptor Genres,,,,Instrumental,,峰岸透,,[soundtrack]; [yt*],,,12/31/2020,Toru Minegishi - Smiles and Tears,,08317,2020-12-31 08317,,,,#cc0000,#fff2cc
✓,If You...,Toshiki Kadomatsu,3.3,1984,City Pop,City Pop,,,,Japanese,,,,[yt*],,,6/1/2021,Toshiki Kadomatsu - If You...,,08318,2021-06-01 08318,,,,#20124d,#ea9999
✓,"Sea Line ""Rie""",Toshiki Kadomatsu,3.3,1987,City Pop,City Pop,,,,Instrumental,,,,[yt*],,,6/1/2021,"Toshiki Kadomatsu - Sea Line ""Rie""",,08319,2021-06-01 08319,,,,#ffff00,#0b5394
✓,Tuareg,Toundra,3.3,2018,Post-Rock; Post-Metal,Post-Rock; Post-Metal,,,,Instrumental,,,,,,,12/31/2020,Toundra - Tuareg,,08320,2020-12-31 08320,,,,#434343,#ffd966
✓,Kingston Falls,Toundra,3.3,2018,Post-Rock; Post-Metal,Post-Rock; Post-Metal,,,,Instrumental,,,,,,,12/31/2020,Toundra - Kingston Falls,,08321,2020-12-31 08321,,,,#434343,#ffd966
✓,Are U Gonna Tell Her?,Tove Lo,3.3,2019,Dance-Pop; Electropop; Synthpop,Dance-Pop; Electropop; Synthpop; Electronic,,,,English,,,,,,,12/31/2020,Tove Lo - Are U Gonna Tell Her?,,08322,2020-12-31 08322,,,,#351c75,#ffff00
✓,Really Don't Like U,Tove Lo,3.3,2019,Dance-Pop; Electropop,Dance-Pop; Electropop; Electronic,,,,English,,,,,,,12/31/2020,Tove Lo - Really Don't Like U,,08323,2020-12-31 08323,,,,#351c75,#ffff00
✓,Waiting Around to Die,Townes Van Zandt,3.3,1969,Outlaw Country; Contemporary Folk; Singer-Songwriter,Outlaw Country; Contemporary Folk; Singer-Songwriter; Progressive Country; Northern American Music; Regional Music,,,,English,,,,,,,12/31/2020,Townes Van Zandt - Waiting Around to Die,,08324,2020-12-31 08324,,,,#c9daf8,#000000
✓,For the Sake of the Song,Townes Van Zandt,3.3,1969,Singer-Songwriter; Contemporary Folk,Singer-Songwriter; Contemporary Folk,,,,English,,,,,,,3/1/2022,Townes Van Zandt - For the Sake of the Song,,08325,2022-03-01 08325,,,,#c9daf8,#000000
✓,Colorado Girl,Townes Van Zandt,3.3,1969,Country; Singer-Songwriter; Contemporary Folk,Country; Singer-Songwriter; Contemporary Folk; Northern American Music; Regional Music,,,,English,,,,,,,3/2/2022,Townes Van Zandt - Colorado Girl,,08326,2022-03-02 08326,,,,#c9daf8,#000000
✓,I'll Be Here in the Morning,Townes Van Zandt,3.3,1969,Country; Singer-Songwriter; Contemporary Folk,Country; Singer-Songwriter; Contemporary Folk; Northern American Music; Regional Music,,,,English,,,,,,,3/2/2022,Townes Van Zandt - I'll Be Here in the Morning,,08327,2022-03-02 08327,,,,#c9daf8,#000000
